ID,conditionName,trialN,block,trial,stream,task,condition,action,accuracy,reward,timeVAS,confVAS,actionTime,timeVASsec,timeBias,firstLetPosEv,Cond,totalev,balev,meanrt,recency
10,antiAction,51,1,51,2,2,1,0,1,1,NA,93.38,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,126,3,22,1,1,1,0,1,1,NA,97.63,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,73,2,21,2,2,1,0,1,1,NA,94.38,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,61,2,9,2,2,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,37,1,37,1,1,1,0,1,1,NA,82.63,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,104,2,52,1,1,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,117,3,13,1,1,1,0,1,1,NA,100,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,39,1,39,2,2,1,0,1,1,NA,73,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,45,1,45,1,1,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,85,2,33,1,1,1,0,1,1,NA,100,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,138,3,34,1,1,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,153,3,49,2,2,1,0,1,1,NA,100,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,144,3,40,2,2,1,0,1,1,NA,100,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,103,2,51,1,1,1,0,1,1,NA,99,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,89,2,37,2,2,1,0,1,1,NA,100,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,9,1,9,1,1,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,60,2,8,1,1,1,0,1,1,NA,97.25,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,98,2,46,2,2,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,71,2,19,1,1,1,0,1,1,NA,78.75,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,151,3,47,2,2,1,0,1,1,NA,98.88,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,10,1,10,2,2,1,0,1,1,NA,100,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,22,1,22,1,1,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,140,3,36,2,2,1,0,1,1,NA,93.5,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,115,3,11,2,2,1,0,1,1,NA,99,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,59,2,7,2,2,1,0,1,1,NA,81.25,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,105,3,1,2,2,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,78,2,26,1,1,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,40,1,40,2,2,1,0,1,1,NA,86.88,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,76,2,24,1,1,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,139,3,35,1,1,1,0,1,1,NA,100,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,4,1,4,1,1,1,0,1,1,NA,97.5,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,57,2,5,2,2,1,0,1,1,NA,95.25,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,52,1,52,2,2,1,1,-1,-1,44.375,100,11.40989488,11.09375,0,0,NA,NA,NA,NA,NA
10,antiAction,125,3,21,1,1,1,0,1,1,NA,100,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,112,3,8,1,1,1,0,1,1,NA,100,NA,NaN,NA,1,NA,NA,NA,NA,NA
10,antiAction,3,1,3,2,2,1,0,1,1,NA,82.63,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,8,1,8,1,1,1,0,1,1,NA,93.38,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,28,1,28,1,1,1,0,1,1,NA,89,NA,NaN,NA,0,NA,NA,NA,NA,NA
10,antiAction,121,3,17,1,1,1,0,1,1,NA,87.88,NA,NaN,NA,1,NA,NA,NA,NA,NA
