sub,trialN,actionTime,block,trial,condition,evidenceType,action,OTime,p300Amp,movedYet,timeToAction,gconditionName,gcondition
10,1,7.857126932,1,1,3,1,1,1.750574168,-6.931251526,0,-6.106552764,NH,3
10,1,7.857126932,1,1,3,0,1,3.000978642,-2.100381613,0,-4.85614829,NH,3
10,1,7.857126932,1,1,3,1,1,4.251395267,-5.075252056,0,-3.605731665,NH,3
10,1,7.857126932,1,1,3,0,1,5.751908123,7.912427902,0,-2.105218809,NH,3
10,1,7.857126932,1,1,3,1,1,6.752228517,-13.40363026,0,-1.104898415,NH,3
10,1,7.857126932,1,1,3,1,1,9.753218602,8.313793182,1,1.89609167,NH,3
10,1,7.857126932,1,1,3,0,1,10.50348818,-7.338281155,1,2.646361251,NH,3
10,1,7.857126932,1,1,3,0,1,12.50415209,-15.91457939,1,4.647025161,NH,3
10,1,7.857126932,1,1,3,1,1,13.00431082,-3.902660847,1,5.147183884,NH,3
10,1,7.857126932,1,1,3,0,1,14.7548884,-11.06901169,1,6.897761473,NH,3
10,1,7.857126932,1,1,3,1,1,16.00530326,0.351152062,1,8.148176328,NH,3
10,1,7.857126932,1,1,3,0,1,17.50580821,-3.655755281,1,9.64868128,NH,3
10,1,7.857126932,1,1,3,1,1,18.75622047,31.65279388,1,10.89909354,NH,3
10,1,7.857126932,1,1,3,0,1,19.50648286,-29.63961983,1,11.64935593,NH,3
10,1,7.857126932,1,1,3,1,1,21.25703095,-20.83265877,1,13.39990402,NH,3
10,1,7.857126932,1,1,3,0,1,23.25772105,-0.485636264,1,15.40059412,NH,3
10,10,NA,1,10,1,1,0,1.750567799,22.55706787,0,NA,Informative,1
10,10,NA,1,10,1,0,0,3.000988316,-7.195408821,0,NA,Informative,1
10,10,NA,1,10,1,0,0,4.25138123,-9.534344673,0,NA,Informative,1
10,10,NA,1,10,1,0,0,6.001979581,-9.909044266,0,NA,Informative,1
10,10,NA,1,10,1,0,0,9.503153515,-5.558597088,0,NA,Informative,1
10,10,NA,1,10,1,0,0,11.7539008,4.669650555,0,NA,Informative,1
10,10,NA,1,10,1,0,0,13.50447261,14.34250832,0,NA,Informative,1
10,10,NA,1,10,1,0,0,14.75488569,7.917667866,0,NA,Informative,1
10,10,NA,1,10,1,0,0,17.25573404,7.177131653,0,NA,Informative,1
10,10,NA,1,10,1,0,0,20.00663226,11.95965958,0,NA,Informative,1
10,10,NA,1,10,1,0,0,21.25705101,11.48868752,0,NA,Informative,1
10,100,NA,2,48,3,0,0,1.250370736,-0.364426136,0,NA,NH,3
10,100,NA,2,48,3,1,0,2.500774975,-4.493397713,0,NA,NH,3
10,100,NA,2,48,3,0,0,3.501164969,-6.427530766,0,NA,NH,3
10,100,NA,2,48,3,1,0,5.001651754,2.987931013,0,NA,NH,3
10,100,NA,2,48,3,0,0,6.252080411,-2.707839251,0,NA,NH,3
10,100,NA,2,48,3,1,0,7.252409771,-5.881586552,0,NA,NH,3
10,100,NA,2,48,3,0,0,7.75256932,-6.943624973,0,NA,NH,3
10,100,NA,2,48,3,1,0,9.50315788,-12.34934139,0,NA,NH,3
10,100,NA,2,48,3,0,0,10.25341531,0.135718644,0,NA,NH,3
10,100,NA,2,48,3,1,0,10.75356695,7.336251259,0,NA,NH,3
10,100,NA,2,48,3,0,0,13.0043153,14.95280552,0,NA,NH,3
10,100,NA,2,48,3,0,0,14.25470739,16.28915977,0,NA,NH,3
10,100,NA,2,48,3,1,0,14.75490492,4.427591324,0,NA,NH,3
10,100,NA,2,48,3,0,0,16.5054864,-2.345244169,0,NA,NH,3
10,100,NA,2,48,3,0,0,17.75590786,-5.406010151,0,NA,NH,3
10,100,NA,2,48,3,1,0,18.25606175,-1.950504065,0,NA,NH,3
10,100,NA,2,48,3,0,0,18.75623486,-5.46003294,0,NA,NH,3
10,100,NA,2,48,3,0,0,20.25672755,-2.224213362,0,NA,NH,3
10,100,NA,2,48,3,1,0,22.25732162,0.327405959,0,NA,NH,3
10,101,NA,2,49,4,0,0,1.250433376,-2.881932974,0,NA,NL,4
10,101,NA,2,49,4,1,0,2.250752709,-0.135390058,0,NA,NL,4
10,101,NA,2,49,4,0,0,7.002342207,-4.531503201,0,NA,NL,4
10,101,NA,2,49,4,0,0,9.25308654,6.422579288,0,NA,NL,4
10,101,NA,2,49,4,0,0,14.25474738,21.5343399,0,NA,NL,4
10,101,NA,2,49,4,0,0,15.5051502,25.24789238,0,NA,NL,4
10,101,NA,2,49,4,0,0,22.25739323,-17.1031208,0,NA,NL,4
10,103,NA,2,51,1,1,0,2.017319235,-0.132333562,0,NA,Informative,1
10,103,NA,2,51,1,0,0,3.51779788,11.22549057,0,NA,Informative,1
10,103,NA,2,51,1,1,0,5.268381721,11.2382021,0,NA,Informative,1
10,103,NA,2,51,1,0,0,6.268701644,-5.517391682,0,NA,Informative,1
10,103,NA,2,51,1,0,0,9.019614963,-15.93089867,0,NA,Informative,1
10,103,NA,2,51,1,0,0,10.01991436,2.989143133,0,NA,Informative,1
10,103,NA,2,51,1,1,0,11.02031816,6.351421356,0,NA,Informative,1
10,103,NA,2,51,1,1,0,12.02065117,4.186335087,0,NA,Informative,1
10,103,NA,2,51,1,0,0,12.77088466,-1.099081039,0,NA,Informative,1
10,103,NA,2,51,1,0,0,15.0216494,15.45016003,0,NA,Informative,1
10,103,NA,2,51,1,0,0,17.27236483,-7.598358154,0,NA,Informative,1
10,103,NA,2,51,1,0,0,18.27268794,-9.91276741,0,NA,Informative,1
10,103,NA,2,51,1,0,0,19.27305139,6.453019142,0,NA,Informative,1
10,103,NA,2,51,1,1,0,20.02328239,-31.92456245,0,NA,Informative,1
10,104,NA,2,52,1,0,0,1.767271371,-14.47058582,0,NA,Informative,1
10,104,NA,2,52,1,1,0,3.267756976,-7.675795078,0,NA,Informative,1
10,104,NA,2,52,1,0,0,5.268394816,-1.102936029,0,NA,Informative,1
10,104,NA,2,52,1,1,0,6.535517844,-1.475266337,0,NA,Informative,1
10,104,NA,2,52,1,0,0,8.035969947,8.29537487,0,NA,Informative,1
10,104,NA,2,52,1,1,0,10.03667349,-4.855893135,0,NA,Informative,1
10,104,NA,2,52,1,0,0,10.78691016,24.20092964,0,NA,Informative,1
10,104,NA,2,52,1,1,0,11.53716771,14.34128761,0,NA,Informative,1
10,104,NA,2,52,1,1,0,13.03767762,-3.55530405,0,NA,Informative,1
10,104,NA,2,52,1,0,0,14.28806617,-4.572833061,0,NA,Informative,1
10,104,NA,2,52,1,0,0,17.30574472,2.90610075,0,NA,Informative,1
10,104,NA,2,52,1,1,0,18.5561814,8.918767929,0,NA,Informative,1
10,104,NA,2,52,1,0,0,19.05633246,-7.218756199,0,NA,Informative,1
10,104,NA,2,52,1,0,0,23.05766264,8.359591484,0,NA,Informative,1
10,105,NA,3,1,1,0,0,1.283711938,-0.256363034,0,NA,Informative,1
10,105,NA,3,1,1,1,0,3.28429516,10.1172123,0,NA,Informative,1
10,105,NA,3,1,1,0,0,4.551500764,4.475890636,0,NA,Informative,1
10,105,NA,3,1,1,1,0,6.302079533,17.52003479,0,NA,Informative,1
10,105,NA,3,1,1,0,0,6.802255242,10.91138363,0,NA,Informative,1
10,105,NA,3,1,1,1,0,7.552497219,3.265176773,0,NA,Informative,1
10,105,NA,3,1,1,0,0,8.052656296,-1.616349339,0,NA,Informative,1
10,105,NA,3,1,1,0,0,9.31974535,-1.037148833,0,NA,Informative,1
10,105,NA,3,1,1,0,0,12.82090772,2.854313135,0,NA,Informative,1
10,105,NA,3,1,1,1,0,14.57150466,-2.395401239,0,NA,Informative,1
10,105,NA,3,1,1,0,0,16.07200277,15.61402988,0,NA,Informative,1
10,105,NA,3,1,1,0,0,18.85622591,-8.685980797,0,NA,Informative,1
10,105,NA,3,1,1,1,0,20.85688487,17.28670883,0,NA,Informative,1
10,105,NA,3,1,1,0,0,22.85758169,-1.075365305,0,NA,Informative,1
10,106,NA,3,2,3,0,0,1.250421108,6.78106451,0,NA,NH,3
10,106,NA,3,2,3,1,0,2.2507428,4.39158392,0,NA,NH,3
10,106,NA,3,2,3,0,0,3.751249167,7.664700031,0,NA,NH,3
10,106,NA,3,2,3,0,0,5.251742676,19.53586388,0,NA,NH,3
10,106,NA,3,2,3,1,0,6.001993737,-4.373827457,0,NA,NH,3
10,106,NA,3,2,3,0,0,7.752571325,-17.1283741,0,NA,NH,3
10,106,NA,3,2,3,1,0,9.253082412,-10.81821537,0,NA,NH,3
10,106,NA,3,2,3,1,0,10.50343357,-2.111023664,0,NA,NH,3
10,106,NA,3,2,3,0,0,11.00365092,5.920625687,0,NA,NH,3
10,106,NA,3,2,3,0,0,13.25440115,7.904210091,0,NA,NH,3
10,106,NA,3,2,3,1,0,14.25472685,16.46156883,0,NA,NH,3
10,106,NA,3,2,3,0,0,15.25506529,11.83556747,0,NA,NH,3
10,106,NA,3,2,3,0,0,16.25540279,11.0599966,0,NA,NH,3
10,106,NA,3,2,3,1,0,17.25566444,-9.368254662,0,NA,NH,3
10,106,NA,3,2,3,0,0,19.50648014,-7.054798126,0,NA,NH,3
10,106,NA,3,2,3,1,0,20.50681399,13.78324413,0,NA,NH,3
10,106,NA,3,2,3,0,0,21.5071509,-12.5788517,0,NA,NH,3
10,106,NA,3,2,3,1,0,23.77457014,-7.22135067,0,NA,NH,3
10,107,22.32222687,3,3,4,1,1,0.750247167,-6.323004723,0,-21.5719797,NL,4
10,107,22.32222687,3,3,4,0,1,2.250746339,-14.03551865,0,-20.07148053,NL,4
10,107,22.32222687,3,3,4,0,1,4.001316378,4.417237759,0,-18.32091049,NL,4
10,107,22.32222687,3,3,4,1,1,4.501495981,-12.67829132,0,-17.82073089,NL,4
10,107,22.32222687,3,3,4,1,1,6.001989136,-10.0494566,0,-16.32023773,NL,4
10,107,22.32222687,3,3,4,0,1,9.253067429,-0.690194964,0,-13.06915944,NL,4
10,107,22.32222687,3,3,4,0,1,10.25340941,-1.461740613,0,-12.06881746,NL,4
10,107,22.32222687,3,3,4,1,1,11.50382368,-2.160516024,0,-10.81840319,NL,4
10,107,22.32222687,3,3,4,0,1,15.75522708,17.76713181,0,-6.566999786,NL,4
10,107,22.32222687,3,3,4,1,1,18.25605432,-8.026329041,0,-4.066172552,NL,4
10,107,22.32222687,3,3,4,1,1,19.50647271,14.33201218,0,-2.815754158,NL,4
10,107,22.32222687,3,3,4,0,1,22.00727246,-4.526997089,0,-0.31495441,NL,4
10,107,22.32222687,3,3,4,0,1,22.50747801,1.028468132,1,0.185251145,NL,4
10,107,22.32222687,3,3,4,0,1,23.75788461,-15.29772568,1,1.435657743,NL,4
10,108,NA,3,4,3,1,0,0.750247639,-13.36550522,0,NA,NH,3
10,108,NA,3,4,3,0,0,3.501178182,-13.99174976,0,NA,NH,3
10,108,NA,3,4,3,0,0,4.501505536,3.072320461,0,NA,NH,3
10,108,NA,3,4,3,1,0,5.501825813,-9.233570099,0,NA,NH,3
10,108,NA,3,4,3,0,0,7.252419563,2.835119486,0,NA,NH,3
10,108,NA,3,4,3,1,0,8.002584744,-14.56853104,0,NA,NH,3
10,108,NA,3,4,3,1,0,10.25342121,3.225130081,0,NA,NH,3
10,108,NA,3,4,3,0,0,10.75357557,6.579561234,0,NA,NH,3
10,108,NA,3,4,3,0,0,12.0039949,30.3588562,0,NA,NH,3
10,108,NA,3,4,3,0,0,13.75457415,15.45269775,0,NA,NH,3
10,108,NA,3,4,3,1,0,14.25474714,-9.943788528,0,NA,NH,3
10,108,NA,3,4,3,0,0,16.25540964,-3.718127728,0,NA,NH,3
10,108,NA,3,4,3,1,0,17.25573699,1.125610828,0,NA,NH,3
10,108,NA,3,4,3,0,0,19.00631824,6.858349323,0,NA,NH,3
10,108,NA,3,4,3,1,0,20.2567417,3.61852932,0,NA,NH,3
10,108,NA,3,4,3,0,0,21.00699253,-7.079996109,0,NA,NH,3
10,109,NA,3,5,3,1,0,0.750253066,-15.25633144,0,NA,NH,3
10,109,NA,3,5,3,0,0,2.000653176,1.217098594,0,NA,NH,3
10,109,NA,3,5,3,1,0,3.251062958,6.011515141,0,NA,NH,3
10,109,NA,3,5,3,0,0,3.751242326,11.89580345,0,NA,NH,3
10,109,NA,3,5,3,0,0,6.752247156,-14.61294174,0,NA,NH,3
10,109,NA,3,5,3,1,0,7.252351733,-22.98589897,0,NA,NH,3
10,109,NA,3,5,3,1,0,10.50348347,-2.905609131,0,NA,NH,3
10,109,NA,3,5,3,0,0,12.25407096,56.25407028,0,NA,NH,3
10,109,NA,3,5,3,0,0,13.2544054,-10.06329346,0,NA,NH,3
10,109,NA,3,5,3,1,0,19.75656328,-1.252866507,0,NA,NH,3
10,109,NA,3,5,3,0,0,20.25672778,-13.03766918,0,NA,NH,3
10,109,NA,3,5,3,0,0,21.25704794,-20.00145721,0,NA,NH,3
10,109,NA,3,5,3,1,0,21.75721587,11.24726009,0,NA,NH,3
10,11,18.14837085,1,11,4,1,1,2.000658956,20.44199944,0,-16.14771189,NL,4
10,11,18.14837085,1,11,4,0,1,3.251078648,8.133504868,0,-14.8972922,NL,4
10,11,18.14837085,1,11,4,1,1,4.501507069,-19.37240791,0,-13.64686378,NL,4
10,11,18.14837085,1,11,4,1,1,9.503161183,-7.335964203,0,-8.645209667,NL,4
10,11,18.14837085,1,11,4,0,1,11.00364903,-5.057281017,0,-7.144721821,NL,4
10,11,18.14837085,1,11,4,0,1,14.50482473,-2.253121376,0,-3.643546117,NL,4
10,11,18.14837085,1,11,4,1,1,17.50581659,3.213638306,0,-0.642554263,NL,4
10,11,18.14837085,1,11,4,0,1,19.75656694,1.223273635,1,1.608196087,NL,4
